Region,Dosis,Fecha,Cantidad
Coquimbo,Primera,2021-01-12,0
Coquimbo,Segunda,2021-01-12,0
Valparaíso,Primera,2021-01-12,600
Valparaíso,Segunda,2021-01-12,0
Metropolitana,Primera,2021-01-12,5820
Metropolitana,Segunda,2021-01-12,0
O’Higgins,Primera,2021-01-12,0
O’Higgins,Segunda,2021-01-12,0
Maule,Primera,2021-01-12,503
Maule,Segunda,2021-01-12,0
Ñuble,Primera,2021-01-12,0
Ñuble,Segunda,2021-01-12,0
Biobío,Primera,2021-01-12,2059
Biobío,Segunda,2021-01-12,0
Araucanía,Primera,2021-01-12,711
Araucanía,Segunda,2021-01-12,0
Los Ríos,Primera,2021-01-12,145
Los Ríos,Segunda,2021-01-12,0
Los Lagos,Primera,2021-01-12,540
Los Lagos,Segunda,2021-01-12,0
Aysén,Primera,2021-01-12,0
Aysén,Segunda,2021-01-12,0
Magallanes,Primera,2021-01-12,165
Magallanes,Segunda,2021-01-12,0
Total,Primera,2021-01-13,10704
Total,Segunda,2021-01-13,1029
Arica y Parinacota,Primera,2021-01-13,0
Arica y Parinacota,Segunda,2021-01-13,0
Tarapacá,Primera,2021-01-13,160
Tarapacá,Segunda,2021-01-13,0
Antofagasta,Primera,2021-01-13,0
Antofagasta,Segunda,2021-01-13,0
Atacama,Primera,2021-01-13,0
Atacama,Segunda,2021-01-13,0
Coquimbo,Primera,2021-01-13,0
Coquimbo,Segunda,2021-01-13,0
Valparaíso,Primera,2021-01-13,600
Valparaíso,Segunda,2021-01-13,0
Metropolitana,Primera,2021-01-13,5820
Metropolitana,Segunda,2021-01-13,896
O’Higgins,Primera,2021-01-13,0
O’Higgins,Segunda,2021-01-13,0
Maule,Primera,2021-01-13,503
